	gene_short_name
YDR395W	YDR395W
YDR397C	YDR397C
YDR398W	YDR398W
YDR399W	YDR399W
YDR400W	YDR400W
YDR404C	YDR404C
YDR405W	YDR405W
YDR406W	YDR406W
YDR407C	YDR407C
YDR408C	YDR408C
YDR409W	YDR409W
YDR410C	YDR410C
YDR411C	YDR411C
YDR412W	YDR412W
YDR414C	YDR414C
YDR418W	YDR418W
YDR420W	YDR420W
YDR421W	YDR421W
YDR422C	YDR422C
YDR423C	YDR423C
YDR424C	YDR424C
YDR427W	YDR427W
YDR428C	YDR428C
YDR429C	YDR429C
YDR430C	YDR430C
YDR432W	YDR432W
YDR433W	YDR433W
YDR434W	YDR434W
YDR435C	YDR435C
YDR436W	YDR436W
YDR443C	YDR443C
YDR447C	YDR447C
YDR450W	YDR450W
YDR452W	YDR452W
YDR454C	YDR454C
YDR456W	YDR456W
YDR457W	YDR457W
YDR458C	YDR458C
YDR460W	YDR460W
YDR461C-A	YDR461C-A
YDR461W	YDR461W
YDR462W	YDR462W
YDR463W	YDR463W
YDR464W	YDR464W
YDR465C	YDR465C
YDR466W	YDR466W
YDR467C	YDR467C
YDR468C	YDR468C
YDR469W	YDR469W
YDR470C	YDR470C
YDR471W	YDR471W
YDR472W	YDR472W
YDR473C	YDR473C
YDR475C	YDR475C
YDR476C	YDR476C
YDR477W	YDR477W
YDR479C	YDR479C
YDR481C	YDR481C
YDR483W	YDR483W
YDR484W	YDR484W
YDR485C	YDR485C
YDR486C	YDR486C
YDR487C	YDR487C
YDR490C	YDR490C
YDR493W	YDR493W
YDR494W	YDR494W
YDR496C	YDR496C
YDR497C	YDR497C
YDR498C	YDR498C
YDR500C	YDR500C
YDR502C	YDR502C
YDR504C	YDR504C
YDR505C	YDR505C
YDR507C	YDR507C
YDR508C	YDR508C
YDR510C-A	YDR510C-A
YDR510W	YDR510W
YDR511W	YDR511W
YDR512C	YDR512C
YDR513W	YDR513W
YDR515W	YDR515W
YDR516C	YDR516C
YDR517W	YDR517W
YDR518W	YDR518W
YDR519W	YDR519W
YDR524C	YDR524C
YDR524C-B	YDR524C-B
YDR524W-C	YDR524W-C
YDR525W-A	YDR525W-A
YDR527W	YDR527W
YDR529C	YDR529C
YDR530C	YDR530C
